entry_id,persona_id,t_index,date,persona_name,persona_age,persona_profession,persona_culture,session_chars,prompt_chars,alignment_self_direction,alignment_stimulation,alignment_hedonism,alignment_achievement,alignment_power,alignment_security,alignment_conformity,alignment_tradition,alignment_benevolence,alignment_universalism
0465b7ad__2,0465b7ad,2,2025-04-24,Lukas Vermeer,18-24,Artist,Western European,256,11325,0,0,0,0,0,0,0,0,0,0
0465b7ad__3,0465b7ad,3,2025-04-24,Lukas Vermeer,18-24,Artist,Western European,1018,12087,0,0,0,0,0,0,0,1,0,0
0465b7ad__4,0465b7ad,4,2025-04-26,Lukas Vermeer,18-24,Artist,Western European,180,11249,0,0,0,0,0,0,0,1,0,0
0465b7ad__5,0465b7ad,5,2025-04-27,Lukas Vermeer,18-24,Artist,Western European,1165,12234,1,0,0,0,0,0,0,1,0,0
0465b7ad__6,0465b7ad,6,2025-04-27,Lukas Vermeer,18-24,Artist,Western European,565,11634,0,0,0,0,0,0,0,1,0,0
0465b7ad__7,0465b7ad,7,2025-04-30,Lukas Vermeer,18-24,Artist,Western European,435,11504,0,0,0,0,0,0,0,1,0,0
0465b7ad__8,0465b7ad,8,2025-05-02,Lukas Vermeer,18-24,Artist,Western European,614,11683,1,0,0,0,0,0,0,1,0,0
0465b7ad__9,0465b7ad,9,2025-05-06,Lukas Vermeer,18-24,Artist,Western European,444,11513,1,0,0,0,0,0,0,1,0,0
0465b7ad__10,0465b7ad,10,2025-05-11,Lukas Vermeer,18-24,Artist,Western European,600,11669,0,0,0,0,0,0,-1,1,0,0
0465b7ad__11,0465b7ad,11,2025-05-14,Lukas Vermeer,18-24,Artist,Western European,1137,12206,1,0,0,0,0,0,0,1,0,0
056f46ad__0,056f46ad,0,2025-12-01,Tariq Al-Rashid,35-44,Manager,Middle Eastern,1560,12652,0,0,1,0,0,0,1,1,1,0
056f46ad__1,056f46ad,1,2025-12-09,Tariq Al-Rashid,35-44,Manager,Middle Eastern,2202,13294,-1,0,1,-1,0,0,1,1,0,0
056f46ad__2,056f46ad,2,2025-12-18,Tariq Al-Rashid,35-44,Manager,Middle Eastern,2578,13670,1,0,0,0,0,0,1,1,1,0
056f46ad__3,056f46ad,3,2025-12-28,Tariq Al-Rashid,35-44,Manager,Middle Eastern,575,11667,0,0,0,1,0,1,0,0,1,0
058722a1__0,058722a1,0,2025-10-11,Patricia Moreno,45-54,Parent (Stay-at-home),North American,1239,12329,1,0,0,0,0,0,0,0,1,1
058722a1__1,058722a1,1,2025-10-15,Patricia Moreno,45-54,Parent (Stay-at-home),North American,1449,12539,-1,0,0,0,0,0,1,0,0,-1
058722a1__2,058722a1,2,2025-10-18,Patricia Moreno,45-54,Parent (Stay-at-home),North American,1189,12279,1,0,0,0,0,0,-1,0,0,1
058722a1__3,058722a1,3,2025-10-25,Patricia Moreno,45-54,Parent (Stay-at-home),North American,518,11608,0,0,0,0,0,0,0,0,1,0
058722a1__4,058722a1,4,2025-11-01,Patricia Moreno,45-54,Parent (Stay-at-home),North American,165,11255,0,0,0,0,0,0,0,0,0,0
058722a1__5,058722a1,5,2025-11-06,Patricia Moreno,45-54,Parent (Stay-at-home),North American,1037,12127,1,0,0,-1,-1,0,0,0,1,1
06f1d745__0,06f1d745,0,2025-12-04,Roberto Espinoza,45-54,Teacher,Latin American,786,11855,0,0,0,0,0,1,0,0,0,0
06f1d745__1,06f1d745,1,2025-12-04,Roberto Espinoza,45-54,Teacher,Latin American,1615,12684,0,0,0,0,0,1,0,0,1,0
06f1d745__2,06f1d745,2,2025-12-05,Roberto Espinoza,45-54,Teacher,Latin American,663,11732,0,0,0,0,0,1,0,0,0,0
06f1d745__3,06f1d745,3,2025-12-08,Roberto Espinoza,45-54,Teacher,Latin American,602,11671,0,0,0,0,0,1,1,0,0,0
06f1d745__4,06f1d745,4,2025-12-10,Roberto Espinoza,45-54,Teacher,Latin American,1768,12837,0,-1,0,0,0,1,0,0,0,0
06f1d745__5,06f1d745,5,2025-12-17,Roberto Espinoza,45-54,Teacher,Latin American,749,11818,0,0,0,0,0,1,0,0,0,0
075f8fdb__0,075f8fdb,0,2025-01-07,Chen Wei-Lin,45-54,Teacher,East Asian,1295,12362,1,1,0,0,0,-1,-1,0,0,1
075f8fdb__1,075f8fdb,1,2025-01-10,Chen Wei-Lin,45-54,Teacher,East Asian,144,11211,0,0,0,0,0,0,-1,0,0,0
075f8fdb__2,075f8fdb,2,2025-01-13,Chen Wei-Lin,45-54,Teacher,East Asian,561,11628,1,1,0,0,0,0,0,-1,0,0
075f8fdb__3,075f8fdb,3,2025-01-19,Chen Wei-Lin,45-54,Teacher,East Asian,1549,12616,1,1,0,0,0,-1,0,-1,0,1
075f8fdb__4,075f8fdb,4,2025-01-23,Chen Wei-Lin,45-54,Teacher,East Asian,1633,12700,1,1,0,0,0,-1,-1,0,0,0
075f8fdb__5,075f8fdb,5,2025-01-24,Chen Wei-Lin,45-54,Teacher,East Asian,708,11775,1,1,0,0,0,-1,0,-1,-1,0
075f8fdb__6,075f8fdb,6,2025-01-25,Chen Wei-Lin,45-54,Teacher,East Asian,1126,12193,1,1,0,0,0,0,0,0,0,0
075f8fdb__7,075f8fdb,7,2025-01-29,Chen Wei-Lin,45-54,Teacher,East Asian,1958,13025,1,1,0,0,0,0,0,0,-1,0
08c7f073__0,08c7f073,0,2025-10-07,Mathilde Delvaux,35-44,Artist,Western European,889,11961,0,0,0,0,0,0,0,1,0,0
08c7f073__1,08c7f073,1,2025-10-10,Mathilde Delvaux,35-44,Artist,Western European,1147,12219,0,0,0,0,0,0,0,1,0,0
08c7f073__2,08c7f073,2,2025-10-12,Mathilde Delvaux,35-44,Artist,Western European,758,11830,0,0,0,-1,0,0,0,1,0,0
08c7f073__3,08c7f073,3,2025-10-17,Mathilde Delvaux,35-44,Artist,Western European,258,11330,0,0,0,0,0,0,0,1,0,0
08c7f073__4,08c7f073,4,2025-10-17,Mathilde Delvaux,35-44,Artist,Western European,1220,12292,0,0,0,0,0,1,0,1,0,0
08c7f073__5,08c7f073,5,2025-10-20,Mathilde Delvaux,35-44,Artist,Western European,945,12017,0,-1,0,0,0,0,0,1,0,0
08c7f073__6,08c7f073,6,2025-10-27,Mathilde Delvaux,35-44,Artist,Western European,259,11331,0,0,0,0,0,0,0,1,1,0
08c7f073__7,08c7f073,7,2025-10-31,Mathilde Delvaux,35-44,Artist,Western European,271,11343,0,0,0,0,0,0,0,1,0,0
08c7f073__8,08c7f073,8,2025-11-04,Mathilde Delvaux,35-44,Artist,Western European,309,11381,0,0,0,0,0,0,0,1,1,0
0a2fe15c__0,0a2fe15c,0,2025-12-01,Fatima Al-Hassan,45-54,Nurse,Middle Eastern,1583,12656,0,0,-1,0,0,-1,0,0,1,0
0a2fe15c__1,0a2fe15c,1,2025-12-07,Fatima Al-Hassan,45-54,Nurse,Middle Eastern,2092,13165,0,0,-1,0,0,0,0,1,1,0
0a2fe15c__2,0a2fe15c,2,2025-12-09,Fatima Al-Hassan,45-54,Nurse,Middle Eastern,829,11902,0,0,-1,0,0,0,0,0,1,0
0ad04582__0,0ad04582,0,2025-12-03,Chen Meiling,55+,Artist,East Asian,1117,12181,0,0,0,1,0,0,0,0,1,0
0ad04582__1,0ad04582,1,2025-12-06,Chen Meiling,55+,Artist,East Asian,1411,12475,0,0,0,0,0,1,0,0,-1,0
0ad04582__2,0ad04582,2,2025-12-06,Chen Meiling,55+,Artist,East Asian,877,11941,1,0,0,0,0,0,0,0,1,0
0ad04582__3,0ad04582,3,2025-12-12,Chen Meiling,55+,Artist,East Asian,1097,12161,0,0,0,0,0,0,0,0,1,0
0ad04582__4,0ad04582,4,2025-12-13,Chen Meiling,55+,Artist,East Asian,1082,12146,0,0,0,-1,0,0,0,0,1,0
0ad04582__5,0ad04582,5,2025-12-19,Chen Meiling,55+,Artist,East Asian,663,11727,0,0,0,0,0,0,0,0,1,0
0ad04582__6,0ad04582,6,2025-12-19,Chen Meiling,55+,Artist,East Asian,445,11509,0,0,0,0,0,0,0,0,1,0
0ad04582__7,0ad04582,7,2025-12-22,Chen Meiling,55+,Artist,East Asian,917,11981,0,0,0,1,0,1,0,0,1,0
0ad04582__8,0ad04582,8,2025-12-28,Chen Meiling,55+,Artist,East Asian,229,11293,0,0,0,0,0,0,0,0,1,0
0ad04582__9,0ad04582,9,2025-12-31,Chen Meiling,55+,Artist,East Asian,714,11778,0,0,0,0,0,0,0,1,1,0
0ad04582__10,0ad04582,10,2026-01-01,Chen Meiling,55+,Artist,East Asian,1190,12254,0,0,0,1,0,1,0,0,0,0
0d272008__0,0d272008,0,2025-12-01,Marcus Chen,35-44,Entrepreneur,North American,718,11799,1,0,0,1,0,0,0,0,0,0
0d272008__1,0d272008,1,2025-12-07,Marcus Chen,35-44,Entrepreneur,North American,864,11945,1,0,0,0,0,0,-1,0,0,0
0d272008__2,0d272008,2,2025-12-09,Marcus Chen,35-44,Entrepreneur,North American,672,11753,1,0,0,0,0,-1,0,0,0,0
0d272008__3,0d272008,3,2025-12-14,Marcus Chen,35-44,Entrepreneur,North American,836,11917,1,0,0,0,0,0,0,0,0,0
0d272008__4,0d272008,4,2025-12-16,Marcus Chen,35-44,Entrepreneur,North American,437,11518,1,0,0,0,0,0,0,0,0,0
0d272008__5,0d272008,5,2025-12-19,Marcus Chen,35-44,Entrepreneur,North American,1000,12081,1,0,1,0,0,0,0,0,0,0
0d272008__6,0d272008,6,2025-12-22,Marcus Chen,35-44,Entrepreneur,North American,1195,12276,1,0,-1,1,0,0,0,0,-1,0
0d272008__7,0d272008,7,2025-12-30,Marcus Chen,35-44,Entrepreneur,North American,1932,13013,1,0,0,1,0,0,0,0,1,0
0d42f985__0,0d42f985,0,2025-08-13,Tariq Haddad,35-44,Grad Student,Middle Eastern,842,11944,0,0,0,1,0,0,0,0,-1,0
0d42f985__1,0d42f985,1,2025-08-18,Tariq Haddad,35-44,Grad Student,Middle Eastern,1295,12397,0,0,0,1,0,0,0,0,-1,0
0d42f985__2,0d42f985,2,2025-08-18,Tariq Haddad,35-44,Grad Student,Middle Eastern,1202,12304,0,0,0,0,0,0,0,0,1,0
0d42f985__3,0d42f985,3,2025-08-25,Tariq Haddad,35-44,Grad Student,Middle Eastern,485,11587,0,0,-1,1,0,0,0,0,-1,0
0d42f985__4,0d42f985,4,2025-08-26,Tariq Haddad,35-44,Grad Student,Middle Eastern,539,11641,0,0,0,0,0,0,0,0,1,0
0d42f985__5,0d42f985,5,2025-09-01,Tariq Haddad,35-44,Grad Student,Middle Eastern,583,11685,0,0,0,1,0,0,0,0,1,0
0d42f985__6,0d42f985,6,2025-09-05,Tariq Haddad,35-44,Grad Student,Middle Eastern,782,11884,0,0,0,1,0,0,0,0,0,0
0d42f985__7,0d42f985,7,2025-09-08,Tariq Haddad,35-44,Grad Student,Middle Eastern,317,11419,0,0,0,0,0,0,0,0,0,0
0d42f985__8,0d42f985,8,2025-09-15,Tariq Haddad,35-44,Grad Student,Middle Eastern,1142,12244,0,0,0,1,0,0,0,0,1,0
0e9a45e9__0,0e9a45e9,0,2025-12-01,Karim Nazari,35-44,Entrepreneur,Middle Eastern,1114,12216,1,0,0,0,0,-1,0,0,0,0
0e9a45e9__1,0e9a45e9,1,2025-12-10,Karim Nazari,35-44,Entrepreneur,Middle Eastern,135,11237,1,0,1,0,0,0,0,0,0,0
0e9a45e9__2,0e9a45e9,2,2025-12-16,Karim Nazari,35-44,Entrepreneur,Middle Eastern,1655,12757,1,0,1,0,0,0,0,-1,0,0
0e9a45e9__3,0e9a45e9,3,2025-12-23,Karim Nazari,35-44,Entrepreneur,Middle Eastern,1063,12165,0,0,-1,1,0,0,0,0,-1,0
0e9a45e9__4,0e9a45e9,4,2025-12-28,Karim Nazari,35-44,Entrepreneur,Middle Eastern,623,11725,1,0,1,0,0,0,0,0,1,0
0e9a45e9__5,0e9a45e9,5,2026-01-07,Karim Nazari,35-44,Entrepreneur,Middle Eastern,576,11678,0,0,-1,1,0,0,0,0,0,0
0e9a45e9__6,0e9a45e9,6,2026-01-17,Karim Nazari,35-44,Entrepreneur,Middle Eastern,1154,12256,1,0,0,1,1,0,0,0,0,0
0e9a45e9__7,0e9a45e9,7,2026-01-25,Karim Nazari,35-44,Entrepreneur,Middle Eastern,1009,12111,1,0,1,0,0,1,0,0,0,0
0e9a45e9__8,0e9a45e9,8,2026-01-31,Karim Nazari,35-44,Entrepreneur,Middle Eastern,731,11833,1,0,1,0,0,0,0,0,1,0
110fcd4f__0,110fcd4f,0,2025-06-24,Lukas Bergmann,18-24,Grad Student,Western European,333,11443,0,0,0,-1,-1,0,1,0,0,0
110fcd4f__1,110fcd4f,1,2025-06-25,Lukas Bergmann,18-24,Grad Student,Western European,682,11792,1,0,0,0,-1,-1,-1,-1,-1,0
110fcd4f__2,110fcd4f,2,2025-06-28,Lukas Bergmann,18-24,Grad Student,Western European,819,11929,1,0,-1,1,0,-1,-1,0,-1,0
114c62d8__0,114c62d8,0,2025-12-01,Tariq Al-Rashid,18-24,Entrepreneur,Middle Eastern,1621,12688,0,0,0,0,1,0,0,-1,-1,0
114c62d8__1,114c62d8,1,2025-12-11,Tariq Al-Rashid,18-24,Entrepreneur,Middle Eastern,800,11867,0,0,0,-1,-1,0,0,0,0,0
114c62d8__2,114c62d8,2,2025-12-13,Tariq Al-Rashid,18-24,Entrepreneur,Middle Eastern,1082,12149,1,0,0,0,0,0,0,0,1,0
11a31f12__0,11a31f12,0,2025-07-28,Valentina Reyes,25-34,Teacher,Latin American,333,11439,1,0,0,0,0,0,-1,0,0,0
11a31f12__1,11a31f12,1,2025-07-31,Valentina Reyes,25-34,Teacher,Latin American,935,12041,1,0,0,0,0,0,-1,0,1,0
11a31f12__2,11a31f12,2,2025-08-04,Valentina Reyes,25-34,Teacher,Latin American,749,11855,0,0,0,0,0,0,0,1,1,0
11a31f12__3,11a31f12,3,2025-08-06,Valentina Reyes,25-34,Teacher,Latin American,392,11498,0,0,0,1,0,0,0,0,-1,0
11a31f12__4,11a31f12,4,2025-08-13,Valentina Reyes,25-34,Teacher,Latin American,1305,12411,1,0,0,0,0,0,-1,0,1,0
11a31f12__5,11a31f12,5,2025-08-13,Valentina Reyes,25-34,Teacher,Latin American,1208,12314,0,0,-1,0,0,0,0,0,1,0
11a31f12__6,11a31f12,6,2025-08-14,Valentina Reyes,25-34,Teacher,Latin American,1427,12533,1,0,0,0,0,0,0,1,1,0
11a31f12__7,11a31f12,7,2025-08-14,Valentina Reyes,25-34,Teacher,Latin American,374,11480,0,0,0,0,0,0,0,0,0,0
11de77e8__0,11de77e8,0,2025-08-23,Lukas Vermeer,25-34,Software Engineer,Western European,686,11800,-1,0,0,1,0,0,1,0,0,0
11de77e8__1,11de77e8,1,2025-08-30,Lukas Vermeer,25-34,Software Engineer,Western European,286,11400,0,0,0,0,0,0,0,0,1,0
11de77e8__2,11de77e8,2,2025-09-05,Lukas Vermeer,25-34,Software Engineer,Western European,702,11816,-1,0,0,0,0,0,1,0,0,0
11de77e8__3,11de77e8,3,2025-09-10,Lukas Vermeer,25-34,Software Engineer,Western European,1136,12250,1,0,0,0,0,0,1,0,0,0
11de77e8__4,11de77e8,4,2025-09-12,Lukas Vermeer,25-34,Software Engineer,Western European,582,11696,1,1,0,0,0,0,0,0,0,0
11de77e8__5,11de77e8,5,2025-09-19,Lukas Vermeer,25-34,Software Engineer,Western European,1124,12238,-1,0,0,1,0,0,1,0,0,0
11de77e8__6,11de77e8,6,2025-09-26,Lukas Vermeer,25-34,Software Engineer,Western European,230,11344,0,0,0,1,0,0,1,0,0,0
11de77e8__7,11de77e8,7,2025-10-02,Lukas Vermeer,25-34,Software Engineer,Western European,650,11764,1,0,0,1,0,0,1,0,0,0
11de77e8__8,11de77e8,8,2025-10-07,Lukas Vermeer,25-34,Software Engineer,Western European,304,11418,1,0,0,1,0,0,0,0,0,0
11de77e8__9,11de77e8,9,2025-10-11,Lukas Vermeer,25-34,Software Engineer,Western European,1223,12337,-1,0,0,0,0,0,1,0,0,0
11de77e8__10,11de77e8,10,2025-10-14,Lukas Vermeer,25-34,Software Engineer,Western European,160,11274,-1,0,0,1,0,0,1,0,0,0
11de77e8__11,11de77e8,11,2025-10-14,Lukas Vermeer,25-34,Software Engineer,Western European,721,11835,-1,0,0,0,0,0,1,0,0,0
11fa5348__0,11fa5348,0,2025-06-02,Ryan Whitfield,25-34,Manager,North American,184,11279,0,0,0,-1,0,0,0,-1,0,0
11fa5348__1,11fa5348,1,2025-06-07,Ryan Whitfield,25-34,Manager,North American,348,11443,0,0,0,-1,0,0,0,1,0,0
11fa5348__2,11fa5348,2,2025-06-12,Ryan Whitfield,25-34,Manager,North American,252,11347,0,0,0,1,0,0,0,1,0,0
11fa5348__3,11fa5348,3,2025-06-18,Ryan Whitfield,25-34,Manager,North American,931,12026,0,0,0,-1,0,0,0,1,0,0
11fa5348__4,11fa5348,4,2025-06-19,Ryan Whitfield,25-34,Manager,North American,1178,12273,0,0,0,1,0,0,0,1,0,0
11fa5348__5,11fa5348,5,2025-06-19,Ryan Whitfield,25-34,Manager,North American,344,11439,0,0,0,1,0,0,0,0,1,0
11fa5348__6,11fa5348,6,2025-06-24,Ryan Whitfield,25-34,Manager,North American,1298,12393,0,0,0,0,0,0,0,1,0,0
11fa5348__7,11fa5348,7,2025-06-25,Ryan Whitfield,25-34,Manager,North American,1071,12166,0,0,0,1,0,0,0,1,0,0
11fa5348__8,11fa5348,8,2025-06-27,Ryan Whitfield,25-34,Manager,North American,310,11405,0,0,0,1,0,0,0,0,0,0
11fa5348__9,11fa5348,9,2025-06-29,Ryan Whitfield,25-34,Manager,North American,1251,12346,-1,0,0,0,0,0,0,1,0,0
11fa5348__10,11fa5348,10,2025-07-05,Ryan Whitfield,25-34,Manager,North American,1006,12101,0,0,0,1,0,0,0,1,0,0
11fa5348__11,11fa5348,11,2025-07-12,Ryan Whitfield,25-34,Manager,North American,1441,12536,1,0,0,0,0,0,0,1,0,0
127aefff__0,127aefff,0,2025-06-05,Tariq Haddad,35-44,Grad Student,Middle Eastern,881,11981,0,0,0,0,0,0,0,0,-1,0
127aefff__1,127aefff,1,2025-06-12,Tariq Haddad,35-44,Grad Student,Middle Eastern,535,11635,-1,0,0,0,0,0,1,0,0,0
127aefff__2,127aefff,2,2025-06-13,Tariq Haddad,35-44,Grad Student,Middle Eastern,227,11327,0,0,0,0,0,0,0,0,0,0
127aefff__3,127aefff,3,2025-06-14,Tariq Haddad,35-44,Grad Student,Middle Eastern,583,11683,0,0,0,0,0,0,0,0,1,0
127aefff__4,127aefff,4,2025-06-14,Tariq Haddad,35-44,Grad Student,Middle Eastern,1193,12293,-1,1,0,0,0,0,1,0,0,0
127aefff__5,127aefff,5,2025-06-19,Tariq Haddad,35-44,Grad Student,Middle Eastern,1214,12314,0,1,0,0,0,0,1,0,0,0
127aefff__6,127aefff,6,2025-06-26,Tariq Haddad,35-44,Grad Student,Middle Eastern,927,12027,1,1,0,0,0,0,1,0,0,0
127aefff__7,127aefff,7,2025-06-27,Tariq Haddad,35-44,Grad Student,Middle Eastern,627,11727,-1,0,0,0,0,0,1,0,0,0
127aefff__8,127aefff,8,2025-06-29,Tariq Haddad,35-44,Grad Student,Middle Eastern,1086,12186,1,1,0,0,0,0,0,0,0,0
1496159d__0,1496159d,0,2025-07-08,Soo-jin Park,25-34,Gig Worker,East Asian,313,11385,0,0,0,0,0,0,0,1,0,0
1496159d__1,1496159d,1,2025-07-11,Soo-jin Park,25-34,Gig Worker,East Asian,886,11958,1,0,0,0,0,-1,0,0,0,0
1496159d__2,1496159d,2,2025-07-16,Soo-jin Park,25-34,Gig Worker,East Asian,439,11511,0,0,0,0,0,0,1,0,0,-1
1496159d__3,1496159d,3,2025-07-21,Soo-jin Park,25-34,Gig Worker,East Asian,873,11945,0,0,0,0,0,1,0,0,0,-1
1496159d__4,1496159d,4,2025-07-22,Soo-jin Park,25-34,Gig Worker,East Asian,924,11996,0,0,0,0,0,0,0,0,-1,-1
1496159d__5,1496159d,5,2025-07-22,Soo-jin Park,25-34,Gig Worker,East Asian,347,11419,0,0,0,0,0,0,0,0,0,-1
152df7a4__0,152df7a4,0,2025-02-12,Joon-ho Park,25-34,Manager,East Asian,1451,12520,0,0,0,0,0,0,0,0,1,0
152df7a4__1,152df7a4,1,2025-02-18,Joon-ho Park,25-34,Manager,East Asian,252,11321,-1,0,0,0,0,0,1,0,0,-1
152df7a4__2,152df7a4,2,2025-02-24,Joon-ho Park,25-34,Manager,East Asian,1187,12256,-1,0,0,0,0,0,1,0,0,-1
152df7a4__3,152df7a4,3,2025-03-03,Joon-ho Park,25-34,Manager,East Asian,961,12030,-1,0,0,0,0,0,1,0,0,-1
152df7a4__4,152df7a4,4,2025-03-08,Joon-ho Park,25-34,Manager,East Asian,190,11259,0,0,0,0,0,0,0,0,0,1
152df7a4__5,152df7a4,5,2025-03-14,Joon-ho Park,25-34,Manager,East Asian,1357,12426,-1,0,0,0,0,0,1,0,0,-1
152df7a4__6,152df7a4,6,2025-03-16,Joon-ho Park,25-34,Manager,East Asian,1304,12373,0,0,0,0,0,0,0,0,0,0
152df7a4__7,152df7a4,7,2025-03-21,Joon-ho Park,25-34,Manager,East Asian,1408,12477,-1,0,0,0,0,0,1,0,0,-1
15f8d4b9__0,15f8d4b9,0,2025-08-11,Farid Al-Rashid,55+,Gig Worker,Middle Eastern,607,11678,1,0,0,1,0,0,0,1,1,0
15f8d4b9__1,15f8d4b9,1,2025-08-18,Farid Al-Rashid,55+,Gig Worker,Middle Eastern,197,11268,0,0,0,0,0,0,1,0,0,0
15f8d4b9__2,15f8d4b9,2,2025-08-25,Farid Al-Rashid,55+,Gig Worker,Middle Eastern,1255,12326,1,0,0,1,0,-1,-1,1,0,0
15f8d4b9__3,15f8d4b9,3,2025-08-26,Farid Al-Rashid,55+,Gig Worker,Middle Eastern,744,11815,0,1,0,0,0,0,0,0,1,0
15f8d4b9__4,15f8d4b9,4,2025-09-05,Farid Al-Rashid,55+,Gig Worker,Middle Eastern,375,11446,0,0,0,1,-1,0,0,0,0,0
